time,Gphi,Gpsi,Ggamma,mass,Px,Py,Pz,Vx,Vy,Vz,Ma,H,semi_major_axis,time_to_go 
147.827000,31.454200,-0.600000,0.000000,121136.246967,93457.194730,76193.653401,-64449.606219,2176.780234,1175.678065,-430.747895,0.000000,77207.961338,3400174.273448,328.298696,
147.828000,31.454200,-0.600000,0.000000,121135.937888,93459.371514,76194.829076,-64450.036966,2176.787208,1175.672847,-430.747713,0.000000,77209.172818,3400175.468659,328.298696,
147.829000,31.454200,-0.600000,0.000000,121135.628809,93461.548304,76196.004746,-64450.467714,2176.794182,1175.667629,-430.747530,0.000000,77210.384293,3400176.663876,328.298696,
147.830000,31.454200,-0.600000,0.000000,121135.319730,93463.725102,76197.180411,-64450.898461,2176.801155,1175.662412,-430.747347,0.000000,77211.595763,3400177.859098,328.298696,
147.831000,31.504200,-0.650000,0.000000,121135.010651,93465.901907,76198.356071,-64451.329209,2176.808125,1175.657200,-430.747157,0.000000,77212.807230,3400179.054076,328.288857,
147.832000,31.504200,-0.650000,0.000000,121134.701572,93468.078718,76199.531726,-64451.759956,2176.815095,1175.651988,-430.746968,0.000000,77214.018692,3400180.249059,328.288857,
147.833000,31.504200,-0.650000,0.000000,121134.392493,93470.255537,76200.707375,-64452.190703,2176.822065,1175.646777,-430.746778,0.000000,77215.230149,3400181.444047,328.288857,
147.834000,31.504200,-0.650000,0.000000,121134.083414,93472.432362,76201.883019,-64452.621449,2176.829035,1175.641565,-430.746588,0.000000,77216.441602,3400182.639041,328.288857,
147.835000,31.504200,-0.650000,0.000000,121133.774335,93474.609195,76203.058658,-64453.052196,2176.836005,1175.636353,-430.746398,0.000000,77217.653051,3400183.834040,328.288857,
147.836000,31.504200,-0.650000,0.000000,121133.465256,93476.786034,76204.234292,-64453.482942,2176.842975,1175.631142,-430.746208,0.000000,77218.864496,3400185.029045,328.288857,
147.837000,31.504200,-0.650000,0.000000,121133.156177,93478.962881,76205.409921,-64453.913688,2176.849946,1175.625930,-430.746018,0.000000,77220.075936,3400186.224055,328.288857,
147.838000,31.504200,-0.650000,0.000000,121132.847098,93481.139734,76206.585544,-64454.344434,2176.856916,1175.620719,-430.745828,0.000000,77221.287372,3400187.419070,328.288857,
147.839000,31.504200,-0.650000,0.000000,121132.538019,93483.316595,76207.761162,-64454.775180,2176.863886,1175.615507,-430.745638,0.000000,77222.498803,3400188.614091,328.288857,
147.840000,31.504200,-0.650000,0.000000,121132.228940,93485.493462,76208.936775,-64455.205925,2176.870856,1175.610295,-430.745448,0.000000,77223.710230,3400189.809118,328.288857,
147.841000,31.554200,-0.700000,0.000000,121131.919861,93487.670336,76210.112383,-64455.636671,2176.877822,1175.605090,-430.745251,0.000000,77224.921653,3400191.003898,328.279020,
147.842000,31.554200,-0.700000,0.000000,121131.610782,93489.847218,76211.287985,-64456.067416,2176.884788,1175.599885,-430.745053,0.000000,77226.133071,3400192.198683,328.279020,
147.843000,31.554200,-0.700000,0.000000,121131.301703,93492.024106,76212.463582,-64456.498161,2176.891755,1175.594679,-430.744856,0.000000,77227.344485,3400193.393474,328.279020,
147.844000,31.554200,-0.700000,0.000000,121130.992624,93494.201001,76213.639174,-64456.928906,2176.898721,1175.589474,-430.744659,0.000000,77228.555895,3400194.588270,328.279020,
147.845000,31.554200,-0.700000,0.000000,121130.683545,93496.377903,76214.814761,-64457.359650,2176.905687,1175.584269,-430.744462,0.000000,77229.767300,3400195.783072,328.279020,
147.846000,31.554200,-0.700000,0.000000,121130.374466,93498.554813,76215.990343,-64457.790394,2176.912654,1175.579063,-430.744264,0.000000,77230.978701,3400196.977879,328.279020,
147.847000,31.554200,-0.700000,0.000000,121130.065387,93500.731729,76217.165919,-64458.221139,2176.919620,1175.573858,-430.744067,0.000000,77232.190098,3400198.172691,328.279020,
147.848000,31.554200,-0.700000,0.000000,121129.756308,93502.908652,76218.341491,-64458.651883,2176.926586,1175.568653,-430.743870,0.000000,77233.401490,3400199.367509,328.279020,
147.849000,31.554200,-0.700000,0.000000,121129.447229,93505.085582,76219.517057,-64459.082626,2176.933553,1175.563448,-430.743673,0.000000,77234.612878,3400200.562333,328.279020,
147.850000,31.554200,-0.700000,0.000000,121129.138150,93507.262519,76220.692618,-64459.513370,2176.940519,1175.558242,-430.743476,0.000000,77235.824261,3400201.757162,328.279020,
147.851000,31.604200,-0.750000,0.000000,121128.829071,93509.439463,76221.868173,-64459.944113,2176.947481,1175.553043,-430.743271,0.000000,77237.035641,3400202.951742,328.269182,
147.852000,31.604200,-0.750000,0.000000,121128.519992,93511.616414,76223.043724,-64460.374857,2176.954444,1175.547844,-430.743066,0.000000,77238.247016,3400204.146328,328.269182,
147.853000,31.604200,-0.750000,0.000000,121128.210913,93513.793372,76224.219269,-64460.805599,2176.961407,1175.542645,-430.742862,0.000000,77239.458386,3400205.340919,328.269182,
147.854000,31.604200,-0.750000,0.000000,121127.901834,93515.970337,76225.394809,-64461.236342,2176.968369,1175.537446,-430.742657,0.000000,77240.669752,3400206.535516,328.269182,
