time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,altitude,delta_pos_x,delta_pos_y,delta_pos_z,delta_vel_x,delta_vel_y,delta_vel_z,phi_deg,psi_deg,time_to_go,sma,eccentricity,inclination_deg,target_sma,target_ecc,target_inc_deg
215.8,255411.7731,129268.162,-72252.70513,2767.472809,622.7377101,-297.5960179,100257.13,135692.8641,-1172423.127,84045.96202,81560.59487,-4909.579691,2361.86821,-7.570517947,17.48384737,-1.88646455,251.9582105,3484100.199,0.8768722877,94.37855788,6740599.4,0.02402729,97.461979
216.8,258183.9315,129887.7305,-72550.07996,2776.849319,616.3986844,-297.1546348,99940.185,136424.7949,-1169650.969,84665.53049,81263.22004,-4900.203181,2355.529184,-7.129134808,17.39333797,-1.844702392,250.9643388,3485861.927,0.8760236499,94.4009891,6740599.4,0.02402729,97.461979
217.8,260965.4824,130500.9583,-72847.01641,2786.258034,610.0562709,-296.7192775,99623.24,137151.9357,-1166869.418,85278.75826,80966.28359,-4890.794466,2349.186771,-6.693777451,17.3027023,-1.80298629,249.9704705,3487635.892,0.8751687706,94.42323238,6740599.4,0.02402729,97.461979
218.8,263756.4583,131107.8419,-73143.52053,2795.69915,603.7103893,-296.2899793,99306.295,137874.2963,-1164078.442,85885.64188,80669.77947,-4881.35335,2342.840889,-6.264479294,17.2119402,-1.761316878,248.9766055,3489422.228,0.8743075974,94.44528852,6740599.4,0.02402729,97.461979
219.8,266556.8916,131708.3779,-73439.5984,2805.172864,597.3609588,-295.8667739,98989.35,138591.8865,-1161278.008,86486.17785,80373.7016,-4871.879636,2336.491459,-5.841273937,17.12105152,-1.719694801,247.9827439,3491221.069,0.8734400774,94.46715833,6740599.4,0.02402729,97.461979
220.8,269366.815,132302.5626,-73735.25613,2814.679375,591.0078978,-295.4496952,98672.405,139304.7162,-1158468.085,87080.36259,80078.04387,-4862.373125,2330.138398,-5.424195163,17.03003609,-1.67812071,246.9888857,3493032.55,0.8725661572,94.4888426,6740599.4,0.02402729,97.461979
221.8,272186.2614,132890.3924,-74030.49985,2824.218884,584.6511244,-295.0387769,98355.46,140012.7952,-1155648.639,87668.19241,79782.80015,-4852.833616,2323.781624,-5.013276939,16.93889376,-1.636595268,245.995031,3494856.809,0.8716857828,94.51034213,6740599.4,0.02402729,97.461979
222.8,275015.2638,133471.8636,-74325.33574,2833.791593,578.2905558,-294.6340534,98038.515,140716.1333,-1152819.636,88249.66357,79487.96426,-4843.260907,2317.421056,-4.60855342,16.84762438,-1.595119144,245.0011798,3496693.985,0.8707988995,94.53165772,6740599.4,0.02402729,97.461979
223.8,277853.8557,134046.9722,-74619.77003,2843.397706,571.9261088,-294.2355589,97721.57,141414.7406,-1149981.044,88824.77223,79193.52997,-4833.654794,2311.056609,-4.210058945,16.75622777,-1.553693016,244.007332,3498544.22,0.869905452,94.55279015,6740599.4,0.02402729,97.461979
224.8,280702.0704,134615.7145,-74913.80895,2853.037431,565.5576994,-293.843328,97404.625,142108.6269,-1147132.83,89393.51447,78899.49105,-4824.015069,2304.688199,-3.817828041,16.66470377,-1.512317573,243.0134877,3500407.656,0.8690053846,94.57374022,6740599.4,0.02402729,97.461979
225.8,283559.9418,135178.0863,-75207.45879,2862.710975,559.1852431,-293.4573954,97087.68,142797.8022,-1144274.958,89955.88628,78605.84121,-4814.341525,2298.315743,-3.431895424,16.57305223,-1.470993511,242.0196471,3502284.439,0.8680986407,94.5945087,6740599.4,0.02402729,97.461979
226.8,286427.5037,135734.0836,-75500.72585,2872.418549,552.8086547,-293.077796,96770.735,143482.2766,-1141407.396,90511.88357,78312.57415,-4804.633951,2291.939155,-3.052295997,16.48127299,-1.429721536,241.0258099,3504174.717,0.8671851633,94.61509639,6740599.4,0.02402729,97.461979
227.8,289304.7903,136283.7022,-75793.6165,2882.160365,546.4278484,-292.7045649,96453.79,144162.0601,-1138530.11,91061.50218,78019.6835,-4794.892135,2285.558348,-2.679064856,16.38936587,-1.388502366,240.0319765,3506078.637,0.8662648947,94.63550407,6740599.4,0.02402729,97.461979
228.8,292191.836,136826.9378,-76086.13712,2891.936638,540.0427376,-292.3377373,96136.845,144837.1627,-1135643.064,91604.73784,77727.16288,-4785.115862,2279.173238,-2.312237286,16.29733071,-1.347336725,239.0381466,3507996.352,0.8653377765,94.6557325,6740599.4,0.02402729,97.461979
229.8,295088.6752,137363.7862,-76378.29412,2901.747585,533.6532353,-291.9773488,95819.9,145507.5946,-1132746.225,92141.58619,77435.00588,-4775.304915,2272.783735,-1.951848764,16.20516735,-1.306225348,238.0443205,3509928.014,0.8644037496,94.67578247,6740599.4,0.02402729,97.461979
230.8,297995.3428,137894.2428,-76670.09397,2911.593424,527.2592536,-291.623435,95502.955,146173.3658,-1129839.557,92672.04281,77143.20603,-4765.459076,2266.389754,-1.597934959,16.11287561,-1.265168982,237.050498,3511873.78,0.8634627545,94.69565474,6740599.4,0.02402729,97.461979
231.8,300911.8737,138418.3032,-76961.54316,2921.474377,520.8607039,-291.2760317,95186.01,146834.4866,-1126923.026,93196.10318,76851.75684,-4755.578123,2259.991204,-1.250531736,16.02045533,-1.224168382,236.0566794,3513833.806,0.8625147307,94.71535008,6740599.4,0.02402729,97.461979
232.8,303838.3033,138935.9627,-77252.64822,2931.390665,514.457497,-290.9351752,94869.065,147490.9672,-1123996.597,93713.76267,76560.65178,-4745.661835,2253.587997,-0.9096751508,15.92790633,-1.183224314,235.0628645,3515808.253,0.8615596172,94.73486926,6740599.4,0.02402729,97.461979
233.8,306774.6669,139447.2166,-77543.41571,2941.342514,508.0495429,-290.6009015,94552.12,148142.8178,-1121060.233,94225.01659,76269.88429,-4735.709986,2247.180043,-0.5754014564,15.83522846,-1.142337554,234.0690535,3517797.282,0.8605973524,94.75421305,6740599.4,0.02402729,97.461979
234.8,309721.0002,139952.0601,-77833.85223,2951.330152,501.6367512,-290.2732471,94235.175,148790.0487,-1118113.9,94729.86014,75979.44777,-4725.722348,2240.767251,-0.247747101,15.74242152,-1.101508891,233.0752464,3519801.057,0.8596278737,94.7733822,6740599.4,0.02402729,97.461979
235.8,312677.3392,140450.4884,-78123.96442,2961.353809,495.2190302,-289.9522487,93918.23,149432.6702,-1115157.561,95228.28845,75689.33558,-4715.698691,2234.34953,0.07325127083,15.64948535,-1.060739121,232.0814432,3521819.746,0.8586511181,94.79237747,6740599.4,0.02402729,97.461979
236.8,315643.7199,140942.4965,-78413.75896,2971.413716,488.796288,-289.6379432,93601.285,150070.6927,-1112191.18,95720.29653,75399.54104,-4705.638784,2227.926788,0.387556817,15.55641978,-1.020029056,231.087644,3523853.517,0.8576670217,94.81119961,6740599.4,0.02402729,97.461979
237.8,318620.1788,141428.0793,-78703.24255,2981.510107,482.3684317,-289.3303675,93284.34,150704.1265,-1109214.721,96205.87932,75110.05745,-4695.542393,2221.498932,0.6951324978,15.46322462,-0.9793795146,230.0938489,3525902.542,0.8566755199,94.82984938,6740599.4,0.02402729,97.461979
238.8,321606.7524,141907.2317,-78992.42195,2991.64322,475.9353676,-289.0295589,92967.395,151332.982,-1106228.148,96685.03166,74820.87805,-4685.40928,2215.065868,0.9959410745,15.3698997,-0.9387913301,229.1000578,3527966.994,0.8556765474,94.84832754,6740599.4,0.02402729,97.461979
